chave_orcamento,cliente,vendedor,data_orcamento_dt,data_pedido_dt,data_faturamento_dt,teve_revisao,qtd_revisoes,ultima_revisao,status_atual,valor_total,primeira_aparicao_dt,ultima_atualizacao_dt
61,ZENITH,CARLA,2026-01-06,,,False,0,0,ORCAMENTO,15750.0,2026-01-15 18:00:08,2026-01-15 18:00:08
62,JPX,MARILENE,2026-01-06,,,False,0,0,ORCAMENTO,18100.0,2026-01-15 18:00:08,2026-01-15 18:00:08
63,JPX,MARILENE,2026-01-06,,,False,0,0,ORCAMENTO,1523.0,2026-01-15 18:00:08,2026-01-15 18:00:08
64,MEGA,MARILENE,2026-01-06,,,False,0,0,ORCAMENTO,616.0,2026-01-15 18:00:08,2026-01-15 18:00:08
65,BETAWORKS,CARLA,2026-01-06,,,False,0,0,ORCAMENTO,845.0,2026-01-15 18:00:08,2026-01-15 18:00:08
68,JVC,MARILENE,2026-01-06,,,False,0,0,ORCAMENTO,2080.0,2026-01-15 18:00:08,2026-01-15 18:00:08
72,TOPFLOW,CARLA,2026-01-06,,,False,0,0,ORCAMENTO,1212.9,2026-01-15 18:00:08,2026-01-15 18:00:08
73,CONSORCIO ROTARIA MCA -,ARTHUR,2026-01-06,,,False,0,0,ORCAMENTO,5600.0,2026-01-15 18:00:08,2026-01-15 18:00:08
74,ACOFOR,MARILENE,2026-01-07,2026-01-07,,True,2,2,PEDIDO,4070.0,2026-01-15 18:00:08,2026-01-15 18:00:08
75,ALMAD -,ARTHUR,2026-01-07,,,False,0,0,ORCAMENTO,3786.0,2026-01-15 18:00:08,2026-01-15 18:00:08
76,BETAWORKS,CARLA,2026-01-07,,,False,0,0,ORCAMENTO,6630.0,2026-01-15 18:00:08,2026-01-15 18:00:08
78,BETAWORKS,MARILENE,2026-01-07,,,False,0,0,ORCAMENTO,2515.8,2026-01-15 18:00:08,2026-01-15 18:00:08
79,ACEPIL,CARLA,2026-01-07,,,False,0,0,ORCAMENTO,12660.0,2026-01-15 18:00:08,2026-01-15 18:00:08
80,LTR,MARILENE,2026-01-07,,,False,0,0,ORCAMENTO,16860.0,2026-01-15 18:00:08,2026-01-15 18:00:08
81,LYOTECH,CARLA,2026-01-07,,,False,0,0,ORCAMENTO,2812.1,2026-01-15 18:00:08,2026-01-15 18:00:08
82,,,,2026-01-07,,False,0,0,PEDIDO,8190.0,2026-01-15 18:00:08,2026-01-15 18:00:08
83,WORTEC,MARILENE,2026-01-07,,,False,0,0,ORCAMENTO,3636.0,2026-01-15 18:00:08,2026-01-15 18:00:08
85,FRANIK,CARLA,2026-01-07,,,False,0,0,ORCAMENTO,2852.85,2026-01-15 18:00:08,2026-01-15 18:00:08
87,FRANIK,CARLA,2026-01-07,,,False,0,0,ORCAMENTO,886.6,2026-01-15 18:00:08,2026-01-15 18:00:08
88,GRADIAL,MARILENE,2026-01-07,,,False,0,0,ORCAMENTO,1072.5,2026-01-15 18:00:08,2026-01-15 18:00:08
90,GD MANUTENÇÃO,MARILENE,2026-01-08,,,False,0,0,ORCAMENTO,3625.0,2026-01-15 18:00:08,2026-01-15 18:00:08
91,ACEPIL,CARLA,2026-01-08,,,False,0,0,ORCAMENTO,902.4,2026-01-15 18:00:08,2026-01-15 18:00:08
92,CIRCULO MILITAR,MARILENE,2026-01-08,,,False,0,0,ORCAMENTO,3200.0,2026-01-15 18:00:08,2026-01-15 18:00:08
93,,,2026-01-08,,,False,0,0,ORCAMENTO,395.0,2026-01-15 18:00:08,2026-01-15 18:00:08
94,HIDROTUBE,MARILENE,2026-01-08,,,False,0,0,ORCAMENTO,754.0,2026-01-15 18:00:08,2026-01-15 18:00:08
